"number_edges_cminet","number_edges_phy","TP","F_score"
340,340,252,0.741176470588235
340,340,272,0.8
340,340,270,0.794117647058823
340,340,269,0.791176470588235
340,340,254,0.747058823529412
340,340,284,0.835294117647059
340,340,274,0.805882352941176
340,340,269,0.791176470588235
340,340,264,0.776470588235294
340,340,277,0.814705882352941
340,340,281,0.826470588235294
340,340,269,0.791176470588235
340,340,254,0.747058823529412
340,340,280,0.823529411764706
340,340,262,0.770588235294118
340,340,277,0.814705882352941
340,340,264,0.776470588235294
340,340,286,0.841176470588235
340,340,253,0.744117647058824
340,340,263,0.773529411764706
340,340,258,0.758823529411765
340,340,260,0.764705882352941
340,340,273,0.802941176470588
340,340,283,0.832352941176471
340,340,280,0.823529411764706
340,340,254,0.747058823529412
340,340,257,0.755882352941176
340,340,279,0.820588235294118
340,340,272,0.8
340,340,253,0.744117647058824
340,340,272,0.8
340,340,278,0.817647058823529
340,340,264,0.776470588235294
340,340,277,0.814705882352941
340,340,264,0.776470588235294
340,340,258,0.758823529411765
340,340,266,0.782352941176471
340,340,278,0.817647058823529
340,340,280,0.823529411764706
340,340,267,0.785294117647059
340,340,266,0.782352941176471
340,340,279,0.820588235294118
340,340,268,0.788235294117647
340,340,267,0.785294117647059
340,340,261,0.76764705882353
340,340,275,0.808823529411765
340,340,276,0.811764705882353
340,340,273,0.802941176470588
340,340,270,0.794117647058823
340,340,279,0.820588235294118
